OneBody1_E-0.05_ecc0.4_RK4.txt
initial value : [x, y, v_x, v_y] = [54.00,0.00,0.00,0.48] , numerical interval dt = 0.02000 , [M, m] = [ 9, 1]

num|given_position|geodesic|newtonian
num| degree1, x1, y1 | degree2, x2, y2, simple error, relative error, d(rho) | degree2, x2, y2, simple error, relative error, dt
123|2.441238,-83.273626,70.190965|2.440567,-83.278663,70.290838,25.603646,23.514973,0.225978|2.440570,-83.279182,70.290811,25.603259,23.514590,0.222269
124|2.461248,-85.287633,69.017480|2.460569,-85.292584,69.117358,24.395267,22.240628,0.226144|2.460572,-85.293161,69.117327,24.394831,22.240202,0.222325
125|2.481258,-87.281366,67.786327|2.480571,-87.286229,67.886208,23.199105,20.997452,0.226308|2.480575,-87.286867,67.886175,23.198617,20.996982,0.222379
126|2.501268,-89.252468,66.497419|2.500574,-89.257242,66.597305,22.016577,19.785945,0.226468|2.500578,-89.257942,66.597269,22.016034,19.785430,0.222431
127|2.521278,-91.198538,65.150764|2.520578,-91.203219,65.250654,20.849124,18.606593,0.226625|2.520582,-91.203984,65.250615,20.848524,18.606030,0.222482
128|2.541288,-93.117131,63.746467|2.540581,-93.121718,63.846362,19.698213,17.459869,0.226780|2.540586,-93.122549,63.846320,19.697552,17.459258,0.222530
129|2.561298,-95.005768,62.284735|2.560585,-95.010260,62.384635,18.565332,16.346234,0.226931|2.560590,-95.011158,62.384590,18.564608,16.345572,0.222576
130|2.581309,-96.861940,60.765882|2.580589,-96.866334,60.865785,17.451987,15.266133,0.227078|2.580594,-96.867302,60.865738,17.451198,15.265419,0.222621
131|2.601319,-98.683113,59.190328|2.600594,-98.687408,59.290236,16.359699,14.220001,0.227222|2.600599,-98.688448,59.290186,16.358841,14.219232,0.222664
132|2.621329,-100.466737,57.558609|2.620599,-100.470930,57.658521,15.289999,13.208255,0.227363|2.620604,-100.472044,57.658468,15.289068,13.207430,0.222705
133|2.641339,-102.210248,55.871375|2.640604,-102.214339,55.971291,14.244423,12.231302,0.227500|2.640609,-102.215527,55.971236,14.243418,12.230420,0.222744
134|2.661349,-103.911081,54.129395|2.660609,-103.915067,54.229316,13.224511,11.289533,0.227633|2.660614,-103.916332,54.229257,13.223428,11.288591,0.222782
135|2.681359,-105.566674,52.333559|2.680614,-105.570553,52.433484,12.231801,10.383325,0.227762|2.680620,-105.571897,52.433423,12.230637,10.382321,0.222818
136|2.701369,-107.174475,50.484879|2.700620,-107.178245,50.584808,11.267822,9.513040,0.227887|2.700626,-107.179670,50.584744,11.266574,9.511973,0.222852
